Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
2008,Dzmitry Platnitski,BLR,16.51,Male,"26 August 1988 in Brest, Brest (BLR)",191.0,83.0
2008,Jefférson Sabino,BRA,16.45,Male,"4 November 1982 in Guarulhos, São Paulo (BRA)",192.0,94.0
2008,Colomba Fofana,FRA,16.42,Male,"11 April 1977 in Courbevoie, Hauts-de-Seine (FRA)",186.0,76.0
2008,Roman Valiyev,KAZ,16.2,Male,"27 March 1984 in Orenburg, Orenburg (RUS)",190.0,76.0
2008,Ibrahim Aboubaker,QAT,16.03,Male,10 December 1982 in ? (QAT),190.0,65.0
2008,Hugo Mamba-Schlick,CMR,16.01,Male,"1 February 1982 in Sarcelles, Val-d'Oise (FRA)"
2008,Aarik Wilson,USA,15.97,Male,"25 October 1982 in Reno, Nevada (USA)",191.0,88.0
2008,Gu Junjie,CHN,15.94,Male,"5 May 1985 in Chengdu, Sichuan (CHN)",188.0,88.0
2008,Renjith Maheshwary,IND,15.77,Male,"30 January 1986 in Kottayam, Kerala (IND)",184.0,79.0
2008,Zhong Minwei,CHN,15.59,Male,"9 April 1987 in Qingdao, Shandong (CHN)",180.0,65.0
2008,Redžep Selman,MKD,15.29,Male,"8 April 1986 in Ohrid, Ohrid (MKD)",183.0,77.0
2012,Christian Taylor,USA,17.81,Male,"18 June 1990 in Uniondale, New York (USA)",188.0,81.0
2012,Will Claye,USA,17.62,Male,"13 June 1991 in Tucson, Arizona (USA)",181.0,72.0
2012,Fabrizio Donato,ITA,17.48,Male,"14 August 1976 in Latina, Latina (ITA)",189.0,83.0
2012,Daniele Greco,ITA,17.34,Male,"1 March 1989 in Nardò, Lecce (ITA)",184.0,75.0
2012,Leevan Sands,BAH,17.19,Male,"16 August 1981 in Nassau, New Providence (BAH)",191.0,82.0
2012,Benjamin Compaoré,FRA,17.08,Male,"5 August 1987 in Bar-le-Duc, Meuse (FRA)",189.0,83.0
2012,Tosin Oke,NGR,16.95,Male,"1 October 1980 in London, England (GBR)",179.0,78.0
2012,Alexis Copello,CUB,16.92,Male,"12 August 1985 in Santiago de Cuba, Santiago de Cuba (CUB)",185.0,80.0
2012,Dong Bin,CHN,16.94,Male,"22 November 1988 in Hengyang, Hunan (CHN)",180.0,74.0
2012,Samyr Lainé,HAI,16.81,Male,"17 July 1984 in Nyack, New York (USA)",188.0,82.0
2012,Dzmitry Platnitski,BLR,16.62,Male,"26 August 1988 in Brest, Brest (BLR)",191.0,83.0
2012,Sheryf El-Sheryf,UKR,16.6,Male,"2 January 1989 in Simferopol, Krym (UKR)",183.0,75.0
2012,Phillips Idowu,GBR,16.53,Male,"30 December 1978 in Hackney, England (GBR)",197.0,89.0
2012,Issam Nima,ALG,16.5,Male,"8 April 1979 in Al-Jaza'ir (Algiers), Al-Jaza'ir (ALG)",187.0,75.0
2012,Arnie Giralt,CUB,16.45,Male,"26 August 1984 in Santiago de Cuba, Santiago de Cuba (CUB)",182.0,72.0
2012,Henry Frayne,AUS,16.4,Male,"14 April 1990 in Adelaide, South Australia (AUS)",188.0,83.0
2012,Muhammad Halim,ISV,16.39,Male,"26 October 1986 in Christiansted, St. Croix (ISV)",191.0,82.0
2012,Yevgeny Ektov,KAZ,16.31,Male,"1 September 1986 in Petropavl, Soltustyk Qazaqstan      (KAZ)",187.0,75.0
2012,Cao Shuo,CHN,16.27,Male,"8 October 1991 in Baoding, Hebei (CHN)",180.0,77.0
2012,Roman Valiyev,KAZ,16.23,Male,"27 March 1984 in Orenburg, Orenburg (RUS)",190.0,76.0
2012,Kim Deok-Hyeon,KOR,16.22,Male,"8 December 1985 in Gwangju, Gwangju (KOR)",180.0,71.0
