Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
2008,Kseniya Pryiemka,BLR,13.08,Female,"23 April 1986 in Homel, Homel (BLR)",177.0,56.0
2008,Irina Litvinenko,KAZ,12.92,Female,"8 January 1987 in Petropavl, Soltustyk Qazaqstan      (KAZ)",173.0,61.0
2012,Olga Rypakova,KAZ,14.98,Female,"30 November 1984 in Oskemen, Shyrgys Qazaqstan (KAZ)",183.0,62.0
2012,Caterine Ibargüen,COL,14.8,Female,"12 February 1984 in Apartadó, Antioquia (COL)",185.0,70.0
2012,Olha Saladukha,UKR,14.79,Female,"4 June 1983 in Donetsk, Donetsk (UKR)",176.0,57.0
2012,Hanna Kniazieva,UKR,14.56,Female,"25 September 1989 in Pereiaslav-Khmelnytskyi, Kyiv (UKR)",179.0,62.0
2012,Yamilé Aldama,GBR,14.48,Female,"14 August 1972 in Cerro, Ciudad de La Habana (CUB)",173.0,62.0
2012,Kimmie Williams,JAM,14.53,Female,"3 November 1988 in ?, Saint Thomas (JAM)",178.0,62.0
2012,Trecia Smith,JAM,14.35,Female,"5 November 1975 in ?, Westmoreland (JAM)",185.0,76.0
2012,Yargelis Savigne,CUB,14.28,Female,"13 November 1984 in Niceto Pérez, Guantánamo (CUB)",165.0,55.0
2012,Tatyana Lebedeva,RUS,14.3,Female,"21 July 1976 in Sterlitamak, Respublika Bashkortostan (RUS)",170.0,61.0
2012,Marija Šestak,SLO,14.16,Female,"17 April 1979 in Kragujevac, Šumadija (SRB)",173.0,59.0
2012,Dana Velďáková,SVK,14.22,Female,"3 June 1981 in Rožňava, Košice (SVK)",179.0,61.0
2012,Patrícia Mamona,POR,14.11,Female,"21 November 1988 in Lisboa, Distrito de Lisboa (POR)",167.0,60.0
2012,Ayanna Alexander,TTO,14.09,Female,"20 July 1982 in Port of Spain, Port of Spain (TTO)",171.0,60.0
2012,Hanna Demydova,UKR,13.97,Female,"8 April 1987 in Mykolaïv, Mykolaïv (UKR)",178.0,50.0
2012,Dailenys Alcántara,CUB,13.97,Female,"10 August 1991 in Santiago de Cuba, Santiago de Cuba (CUB)",163.0,56.0
2012,Veronika Mosina,RUS,13.96,Female,"17 October 1990 in St. Petersburg, St. Petersburg (RUS)",172.0,57.0
2012,Simona La Mantia,ITA,13.92,Female,"14 April 1983 in Palermo, Palermo (ITA)",176.0,64.0
2012,Josleidy Ribalta,CUB,13.88,Female,"2 May 1990 in 10 de October, Ciudad de La Habana (CUB)"
2012,Keila Costa,BRA,13.84,Female,"6 February 1983 in Abreu e Lima, Pernambuco (BRA)",170.0,63.0
2012,Svetlana Bolshakova,BEL,13.84,Female,"14 October 1984 in Begunitsy, Leningrad (RUS)",178.0,68.0
2012,Mayookha Johny,IND,13.77,Female,"9 April 1988 in Mumbai, Maharashtra (IND)",174.0,58.0
